FID	IID	pop	super_pop	gender	sex_plinkf	notgoodsex	deleted_duringqc	Family.ID	keep
HG00099	HG00099	GBR	EUR	female	2	FALSE	FALSE	HG00099	TRUE
HG00112	HG00112	GBR	EUR	male	1	FALSE	FALSE	HG00112	TRUE
HG00114	HG00114	GBR	EUR	male	1	FALSE	FALSE	HG00114	TRUE
HG00115	HG00115	GBR	EUR	male	1	FALSE	FALSE	HG00115	TRUE
HG00127	HG00127	GBR	EUR	female	2	FALSE	FALSE	HG00127	TRUE
HG00129	HG00129	GBR	EUR	male	1	FALSE	FALSE	HG00129	TRUE
HG00131	HG00131	GBR	EUR	male	1	FALSE	FALSE	HG00131	TRUE
HG00146	HG00146	GBR	EUR	female	2	FALSE	FALSE	GBR002	TRUE
HG00148	HG00148	GBR	EUR	male	1	FALSE	FALSE	HG00148	TRUE
HG00171	HG00171	FIN	EUR	female	2	FALSE	FALSE	HG00171	TRUE
HG00182	HG00182	FIN	EUR	male	1	FALSE	FALSE	HG00182	TRUE
HG00183	HG00183	FIN	EUR	male	1	FALSE	FALSE	HG00183	TRUE
HG00231	HG00231	GBR	EUR	female	2	FALSE	FALSE	HG00231	TRUE
HG00238	HG00238	GBR	EUR	female	2	FALSE	FALSE	HG00238	TRUE
HG00239	HG00239	GBR	EUR	female	2	FALSE	FALSE	HG00239	TRUE
HG00242	HG00242	GBR	EUR	male	1	FALSE	FALSE	HG00242	TRUE
HG00243	HG00243	GBR	EUR	male	1	FALSE	FALSE	HG00243	TRUE
HG00252	HG00252	GBR	EUR	male	1	FALSE	FALSE	HG00252	TRUE
HG00256	HG00256	GBR	EUR	male	1	FALSE	FALSE	HG00256	TRUE
HG00260	HG00260	GBR	EUR	male	1	FALSE	FALSE	HG00260	TRUE
HG00264	HG00264	GBR	EUR	male	1	FALSE	FALSE	HG00264	TRUE
HG00266	HG00266	FIN	EUR	female	2	FALSE	FALSE	HG00266	TRUE
HG00269	HG00269	FIN	EUR	female	2	FALSE	FALSE	HG00269	TRUE
HG00273	HG00273	FIN	EUR	male	1	FALSE	FALSE	HG00273	TRUE
HG00275	HG00275	FIN	EUR	female	2	FALSE	FALSE	HG00275	TRUE
HG00276	HG00276	FIN	EUR	female	2	FALSE	FALSE	HG00276	TRUE
HG00278	HG00278	FIN	EUR	male	1	FALSE	FALSE	HG00278	TRUE
HG00280	HG00280	FIN	EUR	male	1	FALSE	FALSE	HG00280	TRUE
HG00290	HG00290	FIN	EUR	male	1	FALSE	FALSE	HG00290	TRUE
HG00310	HG00310	FIN	EUR	male	1	FALSE	FALSE	HG00310	TRUE
HG00321	HG00321	FIN	EUR	male	1	FALSE	FALSE	HG00321	TRUE
HG00329	HG00329	FIN	EUR	male	1	FALSE	FALSE	HG00329	TRUE
HG00330	HG00330	FIN	EUR	female	2	FALSE	FALSE	HG00330	TRUE
HG00331	HG00331	FIN	EUR	female	2	FALSE	FALSE	HG00331	TRUE
HG00334	HG00334	FIN	EUR	female	2	FALSE	FALSE	HG00334	TRUE
HG00336	HG00336	FIN	EUR	male	1	FALSE	FALSE	HG00336	TRUE
HG00338	HG00338	FIN	EUR	male	1	FALSE	FALSE	HG00338	TRUE
HG00358	HG00358	FIN	EUR	male	1	FALSE	FALSE	HG00358	TRUE
HG00366	HG00366	FIN	EUR	male	1	FALSE	FALSE	HG00366	TRUE
HG00378	HG00378	FIN	EUR	female	2	FALSE	FALSE	HG00378	TRUE
HG00379	HG00379	FIN	EUR	female	2	FALSE	FALSE	HG00379	TRUE
HG00381	HG00381	FIN	EUR	female	2	FALSE	FALSE	HG00381	TRUE
HG00436	HG00436	CHS	EAS	male	1	FALSE	FALSE	SH012	TRUE
HG00472	HG00472	CHS	EAS	male	1	FALSE	FALSE	SH024	TRUE
HG00530	HG00530	CHS	EAS	male	1	FALSE	FALSE	SH038	TRUE
HG00565	HG00565	CHS	EAS	male	1	FALSE	FALSE	SH048	TRUE
HG00580	HG00580	CHS	EAS	male	1	FALSE	FALSE	SH053	TRUE
HG00589	HG00589	CHS	EAS	male	1	FALSE	FALSE	SH056	TRUE
HG00592	HG00592	CHS	EAS	male	1	FALSE	FALSE	SH057	TRUE
HG00595	HG00595	CHS	EAS	male	1	FALSE	FALSE	SH058	TRUE
HG00613	HG00613	CHS	EAS	male	1	FALSE	FALSE	SH064	TRUE
HG00619	HG00619	CHS	EAS	male	1	FALSE	FALSE	SH066	TRUE
HG00625	HG00625	CHS	EAS	male	1	FALSE	FALSE	SH068	TRUE
HG00628	HG00628	CHS	EAS	male	1	FALSE	FALSE	SH069	TRUE
HG00641	HG00641	PUR	AMR	female	2	FALSE	FALSE	PR04	TRUE
HG00650	HG00650	CHS	EAS	male	1	FALSE	FALSE	SH072	TRUE
HG00662	HG00662	CHS	EAS	male	1	FALSE	FALSE	SH076	TRUE
